Date,GDPC1,Date,FRED-NFCI,Log_GDPC1,Formula
01/07/1971,5142.422,30/06/1971,0.97777,3.711167713,0
01/10/1971,5154.547,30/09/1971,2.14503,3.712190504,0.409116355
01/01/1972,5249.337,31/12/1971,1.26836,3.720104455,3.165580323
01/04/1972,5368.485,31/03/1972,0.34177,3.729851744,3.898915695
01/07/1972,5419.184,30/06/1972,0.19318,3.733933897,1.632861227
01/10/1972,5509.926,30/09/1972,-0.17893,3.741145766,2.884747649
01/01/1973,5646.286,31/12/1972,-0.27436,3.751762873,4.246842561
01/04/1973,5707.755,31/03/1973,1.12553,3.756465323,1.880980231
01/07/1973,5677.738,30/06/1973,1.11822,3.754175348,-0.915990035
01/10/1973,5731.632,30/09/1973,2.18879,3.758278299,1.641180251
01/01/1974,5682.353,31/12/1973,1.60103,3.75452821,-1.500035667
01/04/1974,5695.859,31/03/1974,0.71525,3.75555923,0.412408138
01/07/1974,5642.025,30/06/1974,4.57949,3.751435006,-1.649689472
01/10/1974,5620.126,30/09/1974,3.84332,3.749746052,-0.675581554
01/01/1975,5551.713,31/12/1974,2.20101,3.744427007,-2.127618186
01/04/1975,5591.382,31/03/1975,0.40958,3.747519164,1.23686287
01/07/1975,5687.087,30/06/1975,-0.44106,3.754889872,2.948283215
01/10/1975,5763.665,30/09/1975,-0.17009,3.76069873,2.323543372
01/01/1976,5893.276,31/12/1975,-0.38356,3.770356781,3.863220164
01/04/1976,5936.515,31/03/1976,-0.86194,3.773531569,1.269915435
01/07/1976,5969.089,30/06/1976,-0.62999,3.775908054,0.950593939
01/10/1976,6012.356,30/09/1976,-0.84793,3.779044688,1.25465341
01/01/1977,6083.391,31/12/1976,-0.77688,3.784145731,2.040417227
01/04/1977,6201.659,31/03/1977,-0.85719,3.792507883,3.34486073
01/07/1977,6313.559,30/06/1977,-0.52773,3.800274243,3.106544216
01/10/1977,6313.697,30/09/1977,-0.30354,3.800283736,0.003797033
01/01/1978,6333.848,31/12/1977,-0.17287,3.801667637,0.553560427
01/04/1978,6578.605,31/03/1978,0.06075,3.818133811,6.586469537
01/07/1978,6644.754,30/06/1978,0.58841,3.822478907,1.738038592
01/10/1978,6734.069,30/09/1978,0.91895,3.828277562,2.319461908
01/01/1979,6746.176,31/12/1978,1.69221,3.829057667,0.312042086
01/04/1979,6753.389,31/03/1979,0.40446,3.829521766,0.185639546
01/07/1979,6803.558,30/06/1979,0.89791,3.832736091,1.285730147
01/10/1979,6820.572,30/09/1979,2.15071,3.833820798,0.43388254
01/01/1980,6842.024,31/12/1979,1.99741,3.835184593,0.545518165
01/04/1980,6701.046,31/03/1980,3.66371,3.826142599,-3.616797615
01/07/1980,6693.082,30/06/1980,1.51051,3.825626146,-0.206581371
01/10/1980,6817.903,30/09/1980,1.25043,3.833650818,3.209868938
01/01/1981,6951.495,31/12/1980,3.2492,3.842078215,3.370958641
01/04/1981,6899.98,31/03/1981,1.73118,3.838847832,-1.292153125
01/07/1981,6982.609,30/06/1981,3.28396,3.844017724,2.067956777
01/10/1981,6906.529,30/09/1981,2.98158,3.83925984,-1.903153653
01/01/1982,6799.233,31/12/1981,2.10218,3.832459924,-2.719966257
01/04/1982,6830.251,31/03/1982,2.18543,3.834436664,0.790695788
01/07/1982,6804.139,30/06/1982,2.90463,3.832773177,-0.665394572
01/10/1982,6806.857,30/09/1982,3.24003,3.832946627,0.069379929
