Date,RGDP,HICP,M1,M3,LNFC,LHH,LNFPS,LRNFCSPR,LRHHSPR,LRNFPSSPR,CRSPR,YC3M,YC1Y,YC2Y,YC3Y,YC2YW,YCEONIA,EATEDSPR,STP,USDEUROXRATE,NEER,VSTOXX,FCIBME,FCIVAR,FCIIPA,FCIBBG,FCIGS,CISS,CISSnew,OILPUSD,GAPPEURUSD,RAWMATPUSD,IP,UR,EMPL,RETTRADE,EUROCOIN,ESI,INDCONF,CSTRCONF,STOASSESS,BCI,CONCONF,RETCONF,SERVCONF,PMIMAN,PMICOMP
Jan-90,597371,59.1,47.7,51.9,,,2679517.2,0.3,0.3,0.3,0.2,-0.6,,-0.4,-0.5,,,2.7,118,1.2,,,,,,,,0.124,0.038,20.35,2.82,58.901,81.569,7.949,125435.564,,,112.2,4.42,1.745,5.213,1.032,-2.296,2.87,,,
Feb-90,601086,59.3,47.7,52.2,,,2696716.7,0.7,1,0.8,0.3,0,,-0.2,-0.4,,,2.6,115.6,1.2,,,,,,,,0.139,0.051,19.6,2.82,59.872,81.946,7.912,125466.774,,,110.7,3.05,1.393,7.114,0.937,-2.362,0.997,,,
Mar-90,605929,59.4,47.7,52.3,,,2707230.9,1,1.2,1.1,0.8,0.2,,-0.2,-0.4,,,2.4,117.3,1.2,,,,,,,,0.141,0.035,18.217,2.82,59.207,81.852,7.864,125505.715,,,111.4,3.751,0.753,4.378,0.902,-3.105,1.36,,,
Apr-90,599419,59.6,47.7,52.6,,,2726703.1,1.3,1.6,1.5,0.4,0.4,,-0.1,-0.4,,,2.2,120.3,1.2,,,,,,,,0.078,0.016,16.55,2.82,58.946,82.056,7.834,125719.408,,,111.1,3.147,0.501,5.215,0.85,-2.472,-0.125,,,
May-90,607814,59.7,48,52.8,,,2745231,1.3,1.8,1.5,0.5,0.4,,0,-0.4,,,2.1,120.4,1.2,,,,,,,,0.07,0.008,16.583,2.82,57.227,82.139,7.831,125784.27,,,109.6,1.919,-1.567,5.003,0.806,-3.352,1.214,,,
Jun-90,605254,59.8,48.3,53.3,,,2762315.5,1.2,1.9,1.6,0.4,0.4,,0.1,-0.3,,,2,120,1.2,,,,,,,,0.047,0.008,15.267,2.82,58.303,82.265,7.816,125836.844,,,109.7,1.559,1.346,6.595,0.696,-3.181,4.292,,,
Jul-90,607347,59.9,48.7,53.6,,,2776500.8,1.1,1.9,1.5,0.5,0.3,,0,-0.3,,,2,120.7,1.3,,,,,,,,0.051,0.021,17.167,2.82,58.372,81.932,7.778,125938.086,,,109.6,1.367,-1.276,5.787,0.646,-2.895,2.262,,,
Aug-90,608647,60.3,49.1,54,,,2793830.6,1.1,1.7,1.4,0.2,0.6,,0.1,-0.2,,,1.9,106.3,1.3,,,,,,,,0.103,0.087,26.4,2.82,57.501,82.405,7.764,125968.619,,,109.1,0.352,-0.066,5.032,0.586,-3.345,3.296,,,
Sep-90,612302,60.7,49.4,54.5,,,2809635.6,1.2,1.8,1.5,0.1,0.9,,0.2,-0.2,,,1.8,97,1.3,,,,,,,,0.112,0.09,32.7,2.82,57.383,82.645,7.761,126009.586,,,106.8,0.753,-0.581,5.669,0.452,-8.515,2.746,,,
Oct-90,614230,61.1,49.4,54.8,,,2825183.7,1.2,1.8,1.5,0.3,0.8,,0.2,-0.2,,,1.7,94.4,1.4,,,,,,,,0.114,0.106,34.5,2.82,57.97,82.518,7.754,126215.822,,,104.5,-0.919,-3.996,7.743,0.387,-8.627,2.937,,,
Nov-90,613001,61.1,49.6,55.2,,,2840625.1,0.9,1.5,1.2,0.5,0.3,,0.1,-0.3,,,1.8,92.8,1.4,,,,,,,,0.082,0.035,31.083,2.82,58.441,82.347,7.752,126231.726,,,105,-1.772,-6.116,7.339,0.212,-7.102,2.35,,,
Dec-90,612099,61.2,50.1,55.6,,,2862194.1,0.4,1,0.7,0.2,-0.3,,-0.2,-0.4,,,2,94,1.4,,,,,,,,0.085,0.115,26.133,2.82,57.562,82.742,7.759,126246.259,,,104.7,-2.737,-5.913,7.942,0.027,-6.715,2.828,,,
