TIME,RGDP,HICP,M1,M3,LONFC,LOHH,LONFPS,CRNFPS,M12GDP,M32GDP,LONFC2GDP,LOHH2GDP,LONFPS2GDP,CRNFPS2GDP,LRNFCSPR,LRHHSPR,LRNFPSSPR,CRSPR,YC3M,YC1Y,YC2Y,YC3Y,YC2YW,YCEONIA,EATEDSPR,STP,HP,USDEUROXRATE,NEER,VSTOXX,FCIBME,FCIVAR,FCIIPA,FCIBBG,FCIGS,CISS,CISSnew,SRI,FC,OILPUSD,GAPPEURUSD,RAWMATPUSD,IP,UR,EMPL,RETTRADE,EUROCOIN,ESI,INDCONF,CSTRCONF,STOASSESS,BCI,CONCONF,RETCONF,SERVCONF,PMIMAN,PMICOMP,CAPUTILMANUF
1990Q1,1804547.17,58.65,23.45,29.57,1304063.315,1335500.397,2639563.712,4326.00,26.30,64.84,30.66,31.40,62.06,100.85,0.38,0.55,0.75,0.45,-0.14,,-0.25,-0.44,,,2.58,116.99,46.18,1.21,,,,,,,,0.13,0.04,0.139,0.848,19.39,2.82,59.33,81.79,7.91,125469.35,,,111.43,3.74,1.30,5.57,0.96,-2.59,1.74,,,,84.431
1990Q2,1812744.699,59.10,23.62,30.00,1347475.6,1368718.692,2716194.292,4423.00,26.01,64.59,31.10,31.59,62.68,101.29,1.03,1.55,1.52,0.43,0.41,,0.00,-0.36,,,2.08,120.23,47.35,1.22,,,,,,,,0.06,0.01,0.129,0.870,16.13,2.82,58.16,82.15,7.83,125780.17,,,110.13,2.21,0.09,5.60,0.78,-3.00,1.79,,,,84.525
1990Q3,1828762.717,59.71,24.14,30.65,1390924.156,1391283.918,2782208.074,4519.00,26.09,64.78,31.52,31.52,63.04,101.22,0.88,1.52,1.46,0.25,0.62,,0.08,-0.27,,,1.88,108.02,48.51,1.31,,,,,,,,0.09,0.07,0.047,0.819,25.42,2.82,57.75,82.33,7.77,125972.10,,,108.50,0.82,-0.64,5.50,0.56,-4.92,2.77,,,,85.055
1990Q4,1839905.609,60.53,24.45,31.30,1443163.891,1417421.638,2860585.53,4652.00,25.99,65.09,32.17,31.59,63.76,103.22,0.51,1.12,1.13,0.32,0.25,,0.07,-0.30,,,1.83,93.73,49.29,1.36,,,,,,,,0.09,0.09,0.107,0.658,30.57,2.82,57.99,82.54,7.76,126231.27,,,104.73,-1.81,-5.34,7.67,0.21,-7.48,2.70,,,,84.514
1991Q1,1852668.575,61.09,24.68,31.91,1483816.796,1443261.824,2927078.62,4737.00,25.68,64.95,32.37,31.48,63.85,102.50,0.52,1.12,1.04,0.48,-0.31,,-0.11,-0.36,,,1.69,96.94,50.52,1.31,,,,,,,,0.12,0.18,0.128,0.702,19.59,3.39,57.37,83.43,7.75,126408.96,,,97.83,-9.48,-8.99,10.51,-0.73,-9.41,-4.75,,,,83.168
1991Q2,1858127.745,61.63,24.89,32.40,1523730.035,1470745.728,2994475.762,4842.00,25.46,64.82,32.68,31.54,64.22,103.40,0.86,1.61,1.44,0.24,-0.20,,-0.07,-0.24,,,1.14,106.97,51.46,1.17,,,,,,,,0.06,0.04,0.101,0.740,18.41,3.38,59.21,82.62,7.81,126501.90,,,96.10,-10.99,-18.64,13.08,-0.93,-8.12,-4.39,,,,82.705
1991Q3,1856807.93,62.49,25.08,33.05,1560002.304,1495658.874,3055661.178,4958.00,25.35,65.32,33.05,31.68,64.73,103.78,0.83,1.56,1.38,0.50,-0.17,,-0.15,-0.30,,,1.07,104.12,52.23,1.20,,,,,,,,0.06,0.09,0.108,0.602,19.49,2.98,60.60,81.97,7.96,126562.60,,,93.83,-11.74,-18.46,13.82,-0.99,-10.63,-4.30,,,,81.842
1991Q4,1875276.01,63.05,25.29,33.72,1597126.001,1522168.361,3119294.362,5072.00,24.97,65.11,33.05,31.50,64.56,105.38,0.60,1.39,1.20,0.65,-0.62,,-0.30,-0.44,,,1.05,100.65,53.10,1.27,,,,,,,,0.08,0.04,0.044,0.568,19.99,2.70,59.63,82.89,8.09,126480.94,,,93.80,-12.49,-17.51,14.25,-1.02,-9.97,-3.30,,,,81.631
1992Q1,1903633.737,63.66,25.40,34.23,1624861.377,1548700.595,3173561.972,5179.00,24.49,64.54,32.84,31.30,64.15,105.07,0.51,1.13,0.97,0.73,-1.11,,-0.41,-0.46,,,1.07,106.41,53.72,1.25,,,,,,,,0.08,0.09,0.020,0.581,17.48,2.55,59.92,83.52,8.19,126277.38,,,92.63,-12.93,-19.54,14.32,-1.09,-10.73,-5.34,,,,81.130
1992Q2,1889058.123,64.23,25.75,35.04,1648652.792,1574199.658,3222852.45,5291.00,24.79,65.97,33.27,31.77,65.05,106.14,0.46,1.04,0.90,0.98,-1.14,,-0.51,-0.52,,,1.05,108.45,54.13,1.29,,,,,,,,0.06,0.05,0.014,0.517,19.66,2.49,61.64,82.33,8.41,125969.49,,,89.27,-14.83,-25.11,15.28,-1.25,-12.56,-12.04,,,,79.300
